id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5954526,Parkwoods hills 4 bedroom semi,30910224,Steve,,Knoxdale-Merivale,45.35991,-75.71243,Entire home/apt,95,5,25,2020-08-31,0.38,1,0
5955569,Comfy Studio Apartment Downtown,19794609,Matías,,Somerset,45.41893,-75.69326,Entire home/apt,86,1,531,2020-10-08,8.93,1,0
5991027,Big private room/bath near downtown,5757357,Molly,,Rideau-Rockcliffe,45.42942,-75.65403,Private room,39,2,166,2019-07-09,2.56,1,0
6032518,Awesome view of the Gatineau Mountains.,31208679,Debra,,West Carleton-March,45.44626,-76.05273,Private room,100,1,4,2017-10-22,0.10,2,4
6072777,"Private room, free parking in Centretown",31522025,Bea,,Somerset,45.40874,-75.7051,Private room,100,1,11,2019-09-30,0.27,1,0
6121836,The PORCH'S Little Bit of Country!,31556447,Nancy,,College,45.35348,-75.73641,Private room,78,1,87,2020-02-16,1.31,2,0
6121871,The PORCH'S Sunny Yellow Room,31556447,Nancy,,College,45.35497,-75.73805,Private room,78,1,191,2020-02-02,2.89,2,1
6133617,Luxury 2BD2BATH downtown Ottawa Condo  (long term),18292018,Lily,,Rideau-Vanier,45.42685,-75.68928,Entire home/apt,100,182,47,2017-11-28,0.70,8,341
6153530,Special Monthly Rates for Students Ottawa Bungalow,31920577,Toma,,Alta Vista,45.3856,-75.64161,Private room,70,2,43,2019-10-15,0.65,1,173
6194931,Bedroom studio w/ private bathroom,32125722,Xiaolan,,Gloucester-Southgate,45.34678,-75.62764,Private room,50,1,293,2020-02-01,4.41,1,203
6195739,Private Room in Cosy Shared House,29651230,Anne,,Rideau-Vanier,45.43661,-75.66587,Private room,20,14,41,2020-07-31,0.62,3,82
6197420,"Gorgeous, Large 3 Bed Downtown with Parking",7354245,Lisa,,Somerset,45.41323,-75.7055,Entire home/apt,199,21,120,2020-10-05,1.85,40,349
6258989,Boho-Chic 1BD in Heart of HINTONBURG|Wifi|Parking,358100,Alexandre & Tanya,,Kitchissippi,45.39933,-75.72884,Entire home/apt,93,1000,321,2020-10-01,4.94,3,263
6261874,Modern Comfort - Condo Loft - Convenience -Kanata,31486703,Sandra,,Kanata North,45.32089,-75.89463,Entire home/apt,90,1,346,2020-10-21,5.32,1,0
6270087,Large 1st Floor Flat - Amazing Location,2573284,Nick,,Kitchissippi,45.40152,-75.71717,Entire home/apt,110,2,52,2020-04-01,0.79,1,83
6312763,Single furnished room close to park,32838271,Regius,,Bay,45.34857,-75.81932,Private room,200,1,0,,,1,365
6347002,2 Bedroom Centretown apartment,33059360,Murray,,Somerset,45.41334,-75.70317,Entire home/apt,92,3,97,2020-07-02,1.47,1,1
6378338,"2 bed 2nd floor Apartment, Centretown with Parking",270848489,Dominick,,Somerset,45.41378,-75.6931,Entire home/apt,99,2,400,2020-04-30,6.05,7,0
6402364,"Ottawa Quiet Room, free parking, pool",29448950,Marc,,Innes,45.44987,-75.52779,Private room,50,1,36,2017-10-01,0.55,3,19
6424695,This cozy one bedroom in-law suite,2819714,Andrea And Dara,,Kitchissippi,45.39694,-75.73168,Entire home/apt,75,30,97,2020-07-31,1.47,1,319
6475461,Crystal Bay Loft,33827123,Gerald,,Bay,45.36295,-75.86228,Private room,65,2,108,2020-10-13,1.64,1,167
6478453,"Comfy mini-suite, great location.",33836567,Linden,,Capital,45.39868,-75.69637,Private room,63,7,137,2020-03-02,2.08,2,365
6500659,Ultra Modern Chalet in the Woods,33978514,Peter,,West Carleton-March,45.42571,-76.07842,Entire home/apt,221,2,80,2020-10-08,1.22,1,1
6504827,Cosy House - 20mins from Parliament,29651230,Anne,,Rideau-Vanier,45.43685,-75.66621,Private room,34,30,36,2019-12-21,0.55,3,0
6512008,"TRANQUILLE, Westboro Beach - Chatte en résidence",16181239,Gaëtane,,Kitchissippi,45.39524,-75.75967,Private room,85,1,3,2020-02-02,0.13,2,170
6512045,"Quiet, nice light, cat in residence",16181239,Gaëtane,,Kitchissippi,45.39513,-75.75963,Private room,85,1,12,2020-02-16,0.25,2,95
6515758,Sunny Heritage Home in Byward Market w/ Parking,25171537,Jeffrey And Stephanie,,Rideau-Vanier,45.43391,-75.69166,Entire home/apt,168,6,166,2020-10-06,2.53,1,215
6586860,Cozy Basement Suite,32721950,Hanan,,Rideau-Rockcliffe,45.42894,-75.64548,Entire home/apt,85,2,122,2020-10-19,1.86,1,354
6589324,Heritage Luxury at Peloton House and Art Gallery,1878522,Ursula,,Rideau-Rockcliffe,45.44267,-75.68628,Entire home/apt,232,3,104,2020-10-02,1.97,2,67
6591110,The most important thing right now is to be safe,34481136,Jane And Serge,,Rideau-Vanier,45.43174,-75.66197,Entire home/apt,99,2,173,2020-10-12,2.89,1,0
6598261,Log Cabin in the Woods,34518260,Tammy,,West Carleton-March,45.48233,-76.20004,Entire home/apt,157,2,57,2020-08-16,0.87,2,365
6612499,1 Guest/Furn'd Bedrm in 3 Bedm Apt.,34602819,Christine,,Rideau-Vanier,45.42483,-75.67608,Private room,85,14,7,2020-02-07,0.11,9,1
6645417,Modern 1 BDRM Condo,34753202,Duc,,River,45.38299,-75.73643,Entire home/apt,92,1,281,2019-10-04,4.53,1,0
6785232,AVAIL Room in NEW 3000sqft Single!,35524200,Brianna,,Kanata South,45.27588,-75.84078,Private room,62,1,20,2020-01-18,0.31,2,174
6844071,Japanese-style Tatami & futon Room,35285366,Rebecca,,River,45.36811,-75.6821,Private room,63,1,121,2019-10-22,1.86,1,170
6853193,Spacious house close to downtown.,35911139,Chris,,Capital,45.40555,-75.67597,Entire home/apt,164,2,76,2020-02-17,1.17,1,0
6895354,Beautiful home in Ottawa's Captial,36077804,Naomi,,Alta Vista,45.38953,-75.63174,Entire home/apt,78,1,2,2015-08-04,0.03,1,0
6939755,"Sunny, Quiet Apt in Central Ottawa",18594118,Danielle,,College,45.3433,-75.764,Entire home/apt,80,3,224,2020-04-11,3.49,1,0
7003714,Beautiful east end home.,36716580,William,,Beacon Hill-Cyrville,45.42539,-75.60975,Private room,50,2,1,2015-09-18,0.02,3,365
7025115,1 Guest/Furn'd Bedrm in 3 Bedm Apt.,34602819,Christine,,Rideau-Vanier,45.42652,-75.67628,Private room,85,14,8,2020-03-20,0.13,9,1
7064475,Studio-size room w new ensuite. Central location,33836567,Linden,,Capital,45.39669,-75.6957,Private room,75,7,97,2020-06-01,1.53,2,1
7074491,Beautiful Executive Downtown Condo,1907163,Mike,,Somerset,45.41646,-75.69594,Entire home/apt,70,60,0,,,1,313
7180154,Great 2 Bedroom Basement Apartment,37469356,Jeanine,,Beacon Hill-Cyrville,45.41758,-75.63034,Entire home/apt,85,4,41,2019-02-05,0.64,1,295
7182054,Upscale 2 bdrms & baths condo,8729464,Elise,,Kitchissippi,45.39847,-75.71125,Entire home/apt,120,30,79,2020-03-27,1.26,1,1
7202951,Private Room Next to Downtown 说中文,4443741,Sissi,,Somerset,45.41096,-75.71806,Private room,65,3,41,2020-08-27,0.66,1,365
7256615,Upscale Country Home/ Ottawa Canada,35485441,Brenda,,West Carleton-March,45.47204,-76.03691,Entire home/apt,200,21,0,,,1,263
7418857,Single Traveler's Oasis - One Bus to Town Centre,110406,Linda,,Gloucester-Southgate,45.37409,-75.61997,Private room,55,2,8,2019-10-01,0.13,2,83
7432408,An oasis for your travels,34585698,Denise,,Innes,45.44342,-75.53288,Private room,50,2,1,2019-03-17,0.05,1,1
